DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
81.839,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.747,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.915,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90.05,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.991,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,91.107,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.067,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,91.459,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.144,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90.471,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.22,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,87.407,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.296,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,83.431,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.372,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,81.444,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.448,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,82.588,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.525,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85.786,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.601,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,87.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.677,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,87.162,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.753,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,83.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.829,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,79.984,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.906,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,77.729,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
82.982,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.848,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.058,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.309,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.134,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.886,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.21,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.151,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.287,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.377,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.363,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.215,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.439,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.09,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.515,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.02,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.591,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.248,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.668,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,77.717,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.744,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,78.383,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.82,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.586,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
83.896,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.997,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
